Category,Description,NutrientDataBankNumber,Carotene,Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Lutein and Zeaxanthin,Lycopene,Niacin,Protein,Retinol,Riboflavin,Selenium,SugarTotal,Water,MonosaturatedFat,PolysaturatedFat,SaturatedFat,Total Lipid,Calcium,Copper,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Vitamin_A,Vitamin_B12,Vitamin_B6,Vitamin_C,Vitamin_D,Vitamin_E,Vitamin_K
Cassava,"Cassava, cooked",71930120,13,0,39.62,2,24.9,1.9,0,0,0.845,1.42,11,0.048,0.7,1.77,54.95,1.08,0.884,0.852,3.02,17,0.104,0.28,22,28,282,146,0.36,13,0,0.1,18.2,0.082,0.52,4.5
Yuca fries,Yuca fries,71930190,7,0,34.72,0,21.6,1.6,0,0,0.74,1.24,0,0.042,0.6,1.55,49.18,5.799,5.68,1.939,13.94,15,0.091,0.27,19,25,247,154,0.31,1,0,0.076,15,0.063,1.78,17.9
Casabe,"Casabe, cassava bread",71930200,14,0,71.22,0,44.3,3.4,0,0,1.518,2.54,0,0.085,1.3,3.18,21.57,0.14,0.09,0.138,0.52,31,0.187,0.5,39,51,507,1185,0.64,2,0,0.156,28.9,0.147,0.36,3.6
Yam,"Yam, cooked, Puerto Rican",71945010,73,0,27.4,0,16.2,3.9,0,0,0.55,1.49,0,0.028,0.7,0.49,69.92,0.005,0.06,0.029,0.14,14,0.152,0.52,18,49,668,124,0.2,6,0,0.227,12.1,0.095,0.34,2.3
Yam buns; Puerto Rican style,Yam buns; Puerto Rican style,71945020,93,1,29.77,35,38.8,3.5,47,0,0.929,3.47,56,0.111,6.4,0.73,46.31,8.082,7.111,3.071,19,25,0.145,1.02,19,74,588,274,0.37,64,0.1,0.211,9.1,0.135,2.44,22.8
Tannier,"Tannier, cooked",71950010,40,20,27.55,2,18.3,4.3,0,0,0.594,1.57,11,0.025,0.7,0.42,66.36,1.019,0.92,0.818,2.94,45,0.179,0.57,34,88,616,143,0.24,15,0,0.283,4,0.089,2.8,3.6
Celeriac,"Celeriac, cooked",71961010,5,0,9.58,2,9.6,1.9,1,0,0.693,1.57,11,0.06,0.7,1.67,84.43,1.063,0.988,0.857,3.04,45,0.073,0.73,21,120,313,235,0.34,12,0,0.172,7.1,0.047,0.69,45.2
Dasheen,"Dasheen, cooked",71962020,40,20,27.55,2,18.3,4.3,0,0,0.594,1.57,11,0.025,0.7,0.42,66.36,1.019,0.92,0.818,2.94,45,0.179,0.57,34,88,616,143,0.24,15,0,0.283,4,0.089,2.8,3.6
Taro,"Taro, cooked",71962040,40,20,27.55,2,18.3,4.3,0,0,0.594,1.57,11,0.025,0.7,0.42,66.36,1.019,0.92,0.818,2.94,45,0.179,0.57,34,88,616,143,0.24,15,0,0.283,4,0.089,2.8,3.6
Fufu,Fufu,71970200,27,10,33.59,2,21.6,3.1,0,0,0.719,1.5,11,0.037,0.7,1.09,60.65,1.05,0.902,0.835,2.98,31,0.142,0.43,28,58,449,144,0.3,14,0,0.191,11.1,0.085,1.66,4
Poi,Poi,71980100,36,20,28.45,0,18.6,4.4,0,0,0.613,1.61,0,0.026,0.8,0.43,68.43,0.017,0.089,0.044,0.22,46,0.185,0.59,35,90,635,12,0.25,4,0,0.274,4.1,0.092,2.56,1.1
Taro chips,Taro chips,71980200,66,37,68.1,0,44.3,7.2,0,0,0.515,2.3,0,0.029,1.8,3.82,2,4.43,12.88,6.43,24.9,60,0.28,1.2,84,131,755,342,0.38,7,0,0.438,5,0.174,11.34,18
Beet greens,"Beet greens, raw",72101100,3794,0,4.33,0,0.4,3.7,1503,0,0.4,2.2,0,0.22,0.9,0.5,91.02,0.026,0.046,0.02,0.13,117,0.191,2.57,70,41,762,226,0.38,316,0,0.106,30,0.1,1.5,400
Beet greens,"Beet greens, cooked",72101220,3757,0,4.51,2,0.7,3.9,1486,0,0.396,2.3,11,0.218,0.9,0.52,87.57,1.029,0.881,0.796,2.86,122,0.199,2.68,73,43,794,366,0.4,324,0,0.122,21.9,0.094,1.88,418.9
Broccoli raab,"Broccoli raab, raw",72103000,1573,0,2.85,0,18.3,2.7,1121,0,1.221,3.17,0,0.129,1,0.38,92.55,0.044,0.218,0.083,0.49,108,0.042,2.14,22,73,196,33,0.77,131,0,0.171,20.2,0.162,1.62,224
Broccoli raab,"Broccoli raab, cooked",72103030,1512,0,2.88,2,18.7,2.7,1074,0,1.17,3.2,11,0.124,1,0.38,89.5,1.015,1.027,0.835,3.14,109,0.042,2.16,22,74,198,160,0.78,137,0,0.181,14.3,0.147,1.94,228.3
Chard,"Chard, raw",72104100,3647,0,3.74,0,18,1.6,11000,0,0.4,1.8,0,0.09,0.9,1.1,92.66,0.04,0.07,0.03,0.2,51,0.179,1.8,81,46,379,213,0.36,306,0,0.099,30,0.04,1.89,830
Chard,"Chard, cooked",72104220,3612,0,3.9,2,19,1.7,10878,0,0.396,1.88,11,0.089,0.9,1.15,89.28,1.044,0.906,0.806,2.94,54,0.186,1.88,84,48,395,353,0.38,314,0,0.116,21.9,0.038,2.28,866.5
Collards,"Collards, raw",72107100,2991,28,5.42,0,23.2,4,4323,0,0.742,3.02,0,0.13,1.3,0.46,89.62,0.03,0.201,0.055,0.61,232,0.046,0.47,27,25,213,17,0.21,251,0,0.165,35.3,0.054,2.26,437.1
Collards,"Collards, fresh, cooked, no added fat",72107211,3046,29,5.81,0,24.9,4.3,4403,0,0.756,3.24,0,0.132,1.4,0.49,88.55,0.032,0.215,0.059,0.65,249,0.049,0.5,29,27,228,143,0.22,256,0,0.168,26.5,0.052,2.42,468.6
Collards,"Collards, frozen, cooked, no added fat",72107212,6798,28,7.08,0,45,2.8,10865,0,0.633,2.96,0,0.115,1.5,0.57,88.21,0.02,0.209,0.06,0.41,210,0.055,1.12,30,27,250,166,0.27,573,0,0.114,26.3,0.047,1.25,621.3
Collards,"Collards, canned, cooked, no added fat",72107213,3545,0,2.79,0,0.3,1.3,6539,0,0.357,1.35,0,0.06,0.7,0.42,93.94,0.02,0.119,0.069,0.3,117,0.082,1.5,20,21,140,336,0.23,296,0,0.04,14.6,0.01,1.46,284.7
Collards,"Collards, NS as to form, cooked",72107220,2963,28,5.65,2,24.4,4.2,4275,0,0.734,3.15,11,0.129,1.4,0.48,86.12,1.033,1.043,0.832,3.36,242,0.048,0.49,28,26,222,149,0.22,260,0,0.181,25.7,0.051,2.67,457.5
Collards,"Collards, fresh, cooked, fat added, NS as to fat type",72107221,2963,28,5.65,2,24.4,4.2,4275,0,0.734,3.15,11,0.129,1.4,0.48,86.12,1.033,1.043,0.832,3.36,242,0.048,0.49,28,26,222,149,0.22,260,0,0.181,25.7,0.051,2.67,457.5
Collards,"Collards, frozen, cooked, fat added, NS as to fat type",72107222,6605,27,6.88,2,43.9,2.7,10550,0,0.615,2.88,10,0.112,1.5,0.55,85.97,0.951,0.979,0.779,2.93,204,0.053,1.09,29,26,243,170,0.26,567,0,0.127,25.6,0.046,1.51,605.6
Collards,"Collards, canned, cooked, fat added, NS as to fat type",72107223,3447,0,2.71,2,0.5,1.3,6350,0,0.347,1.32,10,0.058,0.7,0.4,91.55,0.947,0.887,0.785,2.81,114,0.08,1.46,19,21,136,336,0.22,298,0,0.055,14.2,0.01,1.71,278.8
Collards,"Collards, fresh, cooked with oil",72107227,2958,28,5.64,0,24.2,4.2,4275,0,0.734,3.14,0,0.129,1.4,0.48,85.76,1.339,1.495,0.484,3.76,242,0.048,0.49,28,26,222,139,0.22,248,0,0.163,25.7,0.051,2.72,458.7
Collards,"Collards, fresh, cooked with butter or margarine",72107228,2968,28,5.65,4,24.6,4.2,4275,0,0.735,3.16,22,0.13,1.4,0.48,86.47,0.728,0.59,1.18,2.97,242,0.048,0.49,28,27,223,159,0.22,271,0,0.198,25.7,0.051,2.62,456.4
Collards,"Collards, frozen, cooked with oil",72107230,6600,27,6.87,0,43.7,2.7,10550,0,0.615,2.88,0,0.111,1.5,0.55,85.64,1.236,1.4,0.455,3.3,203,0.053,1.09,29,26,243,161,0.26,557,0,0.11,25.6,0.045,1.55,606.7
Collards,"Collards, frozen, cooked with butter or margarine",72107231,6610,27,6.88,4,44.1,2.7,10550,0,0.616,2.89,21,0.112,1.5,0.55,86.3,0.667,0.558,1.103,2.57,204,0.053,1.08,29,27,244,180,0.26,578,0,0.143,25.6,0.046,1.46,604.6
Collards,"Collards, canned, cooked with oil",72107233,3442,0,2.71,0,0.3,1.3,6350,0,0.347,1.31,0,0.058,0.7,0.4,91.23,1.23,1.306,0.463,3.18,114,0.08,1.46,19,20,136,326,0.22,287,0,0.039,14.2,0.01,1.76,279.9
Collards,"Collards, canned, cooked with butter or margarine",72107234,3452,0,2.72,4,0.7,1.3,6350,0,0.348,1.33,21,0.059,0.7,0.41,91.88,0.664,0.468,1.107,2.45,115,0.08,1.46,19,21,137,345,0.22,308,0,0.071,14.2,0.01,1.67,277.8
Cress,"Cress, raw",72110100,4150,0,5.5,0,19.5,1.1,12500,0,1,2.6,0,0.26,0.9,4.4,89.4,0.239,0.228,0.023,0.7,81,0.17,1.3,38,76,606,14,0.23,346,0,0.247,69,0.08,0.7,541.9
Cress,"Cress, cooked",72110221,4109,0,5.73,2,20.5,1.1,12361,0,0.989,2.72,11,0.258,0.9,4.58,85.89,1.251,1.071,0.799,3.46,85,0.177,1.36,40,79,631,146,0.24,354,0,0.262,50.3,0.075,1.05,566.6
Dandelion greens,"Dandelion greens, raw",72113100,5854,121,9.2,0,35.3,3.5,13610,0,0.806,2.7,0,0.26,0.5,0.71,85.6,0.014,0.306,0.17,0.7,187,0.171,3.1,36,66,397,76,0.41,508,0,0.251,35,0.19,3.44,778.4
Dandelion greens,"Dandelion greens, cooked",72113220,5794,120,9.58,2,37,3.6,13459,0,0.798,2.82,11,0.258,0.5,0.74,81.93,1.017,1.152,0.952,3.46,195,0.178,3.23,38,69,414,210,0.43,514,0,0.266,25.5,0.178,3.9,812.8
Romaine lettuce,"Romaine lettuce, raw",72116000,4443,0,2.87,0,13.6,1.3,1730,0,0.375,1.36,0,0.08,0.6,0.78,94.98,0.006,0.082,0.02,0.15,36,0.029,0.86,13,29,194,28,0.18,370,0,0.09,9.2,0.07,0.22,126.3
Caesar salad,"Caesar salad, with romaine, no dressing",72116150,4524,0,6.78,8,10.5,1.8,2000,0,0.496,4.23,21,0.112,4.8,1.23,84.12,1.015,0.353,1.666,3.57,114,0.053,0.99,17,89,244,225,0.65,398,0.13,0.078,4,0.094,0.18,88.7
Escarole,"Escarole, cooked",72116220,1102,0,2.98,2,15.1,2.7,0,0,0.302,1.12,10,0.06,0.2,0.22,91.61,0.936,0.854,0.762,2.71,45,0.084,0.7,13,22,238,140,0.67,102,0,0.032,3.2,0.057,0.68,207.5
Greens,"Greens, fresh, cooked, no added fat",72118211,3026,26,5.16,0,10.2,4.2,5533,0,0.906,2.97,0,0.212,1.1,0.74,89.1,0.069,0.388,0.106,0.97,235,0.085,1.14,31,43,302,159,0.3,254,0,0.163,46.6,0.077,1.66,418.9
Greens,"Greens, frozen, cooked, no added fat",72118212,4476,22,5.75,0,18.3,2.7,8185,0,0.508,2.92,0,0.114,1.2,0.78,89.46,0.059,0.343,0.098,0.71,169,0.069,1.09,26,33,194,146,0.28,376,0,0.088,21.2,0.053,1.54,500.4
Greens,"Greens, canned, cooked, no added fat",72118213,3545,0,2.79,0,0.3,1.3,6539,0,0.357,1.35,0,0.06,0.7,0.42,93.94,0.02,0.119,0.069,0.3,117,0.082,1.5,20,21,140,336,0.23,296,0,0.04,14.6,0.01,1.46,284.7
Greens,"Greens, NS as to form, cooked",72118220,2956,26,5.02,2,10.2,4.1,5396,0,0.881,2.89,10,0.207,1.1,0.72,86.9,0.968,1.127,0.801,3.4,228,0.084,1.12,30,43,294,164,0.29,258,0,0.175,45.3,0.075,1.9,410.1
Greens,"Greens, fresh, cooked, fat added",72118221,2956,26,5.02,2,10.2,4.1,5396,0,0.881,2.89,10,0.207,1.1,0.72,86.9,0.968,1.127,0.801,3.4,228,0.084,1.12,30,43,294,164,0.29,258,0,0.175,45.3,0.075,1.9,410.1
Greens,"Greens, frozen, cooked, fat added",72118222,4351,21,5.59,2,18,2.6,7948,0,0.494,2.84,10,0.112,1.2,0.76,87.19,0.989,1.109,0.816,3.23,164,0.067,1.06,25,33,188,151,0.27,376,0,0.102,20.6,0.052,1.79,488.2
Greens,"Greens, canned, cooked, fat added",72118223,3447,0,2.71,2,0.5,1.3,6350,0,0.347,1.32,10,0.058,0.7,0.4,91.55,0.947,0.887,0.785,2.81,114,0.08,1.46,19,21,136,336,0.22,298,0,0.055,14.2,0.01,1.71,278.8
Kale,"Kale, raw",72119190,2870,27,4.42,0,0.5,4.1,6260,0,1.18,2.92,0,0.347,0.9,0.8,89.6,0.104,0.673,0.178,1.49,254,0.053,1.6,33,55,348,53,0.39,241,0,0.147,93.4,0.113,0.66,390
